BestFirst;Emmen/Schachenstrasse/2;Luzern/Zürichstrasse/85;102000
BestFirst;Luzern/Baselstrasse/76;Luzern/Zürichstrasse/5;36100
BestFirst;Luzern/Bruchstrasse/18;Luzern/Zentralstrasse/1;16200
BestFirst;Luzern/Bruchstrasse/35;Luzern/Spitalstrasse/4;17600
BestFirst;Luzern/Bundesplatz/2;Luzern/Spitalstrasse/16;27800
BestFirst;Luzern/Haldenstrasse/23;Luzern/Seehüsliweg/6;30800
BestFirst;Luzern/Horwerstrasse/87;Luzern/Schweizerhofquai/3;40300
BestFirst;Luzern/Kasernenplatz/3;Luzern/Sankt-Karli-Strasse/29;28700
BestFirst;Luzern/Obergrundstrasse/110;Luzern/Reusszopfweg/17;24300
BestFirst;Luzern/Obergrundstrasse/85;Luzern/Pilatusstrasse/38;24600
